"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile Quarter","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL16","Region of Ñuble","F","Female",69.86945129128,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL08","Region of Biobío","_T","Total",660.705762607899,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL08","Region of Biobío","M","Male",406.278841230339,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL08","Region of Biobío","F","Female",254.42692137756,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL09","Region of La Araucanía","_T","Total",416.142942140408,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL09","Region of La Araucanía","M","Male",259.40346953638,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL09","Region of La Araucanía","F","Female",156.73947260403,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL14","Region of Los Ríos","_T","Total",152.52108094825,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL14","Region of Los Ríos","M","Male",94.8808400493099,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL14","Region of Los Ríos","F","Female",57.6402408989399,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL10","Region of Los Lagos","_T","Total",376.770037740978,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL10","Region of Los Lagos","M","Male",240.74092796362,,
